iter	RMSE
0	318714.0988
1	310144.517
2	301820.9694
3	293741.4637
4	285811.8633
5	277980.2311
6	270503.4004
7	263312.8216
8	256293.5676
9	249353.2317
10	242818.5929
11	236393.6957
12	230301.5282
13	224249.3796
14	218518.4763
15	212895.4406
16	207350.5269
17	201970.6021
18	196863.8363
19	191935.0715
20	187146.0322
21	182394.5342
22	177896.7208
23	173536.9795
24	169188.6597
25	165017.1888
26	161080.3485
27	157236.0206
28	153481.4116
29	149820.2562
30	146310.9762
31	142859.0132
32	139523.0182
33	136390.2299
34	133283.6144
35	130323.4513
36	127417.4379
37	124708.9925
38	122057.52
39	119448.8106
40	117024.6208
41	114637.7368
42	112383.2553
43	110080.522
44	107896.0521
45	105848.189
46	103836.9407
47	101956.0467
48	100106.253
49	98366.46077
50	96630.66335
51	94923.00421
52	93373.58629
53	91827.63766
54	90366.78334
55	88967.0861
56	87663.73035
57	86291.89466
58	85066.9646
59	83774.53396
60	82623.88467
61	81559.27783
62	80547.19868
63	79547.68469
64	78601.45822
65	77720.05952
66	76878.89467
67	76060.61454
68	75275.02926
69	74531.84211
70	73799.5672
71	73117.43401
72	72458.86651
73	71717.10425
74	71049.99522
75	70388.56741
76	69817.49743
77	69231.99462
78	68730.40963
79	68220.55538
80	67766.08556
81	67330.14353
82	66855.35552
83	66401.13695
84	65997.26439
85	65651.72099
86	65331.05414
87	64908.15294
88	64491.14185
89	64181.07429
90	63893.49856
91	63630.51464
92	63280.5494
93	62983.00541
94	62772.65145
95	62552.49314
96	62341.47825
97	62145.79597
98	61956.41187
99	61766.60721
100	61580.00369
101	61417.20871
102	61216.41353
103	61061.90958
104	60918.86896
105	60739.99368
106	60516.70927
107	60313.53356
108	60110.50716
109	59998.12899
110	59770.76051
111	59556.8882
112	59418.01923
113	59321.27171
114	59153.42945
115	59050.46971
116	58862.2164
117	58781.25728
118	58709.0078
119	58559.6176
120	58442.77389
121	58281.88201
122	58104.81758
123	58051.03393
124	57957.86238
125	57901.62184
126	57772.72902
127	57641.1743
128	57490.94927
129	57438.48353
130	57362.00871
131	57310.62368
132	57249.98884
133	57141.12418
134	57092.48301
135	57039.88534
136	56945.7825
137	56881.5628
138	56838.45592
139	56755.92893
140	56683.91774
141	56598.7784
142	56517.12778
143	56471.74327
144	56413.59274
145	56336.87849
146	56204.45278
147	56143.13565
148	56073.31122
149	56037.68342
150	55979.31422
151	55923.48283
152	55849.75654
153	55811.87701
154	55760.51103
155	55669.66949
156	55558.98665
157	55522.50362
158	55437.40748
159	55356.57336
160	55312.26519
161	55224.18025
162	55183.36052
163	55076.91779
164	54993.11415
165	54942.45255
166	54877.35955
167	54821.68749
168	54770.1563
169	54720.42181
170	54621.76131
171	54588.28439
172	54534.71993
173	54483.73843
174	54432.02408
175	54389.24453
176	54346.94505
177	54246.27888
178	54192.99456
179	54137.12097
180	54107.30361
181	54040.97417
182	54006.56109
183	53973.06749
184	53913.29524
185	53846.12692
186	53794.98269
187	53763.52322
188	53740.94705
189	53708.06396
190	53654.39669
191	53568.3158
192	53528.58138
193	53502.21822
194	53462.08223
195	53429.54805
196	53393.84509
197	53352.53387
198	53297.27583
199	53262.21332
200	53207.85379
201	53181.63344
202	53128.80279
203	53070.74876
204	53017.29139
205	52935.5323
206	52907.86161
207	52871.04898
208	52821.34116
209	52773.82898
210	52726.54821
211	52693.14862
212	52609.41225
213	52575.87218
214	52515.99495
215	52437.92881
216	52406.9464
217	52391.01487
218	52345.4644
219	52323.13671
220	52305.36016
221	52234.89099
222	52184.52608
223	52138.86362
224	52111.01698
225	52084.2527
226	52063.50239
227	52021.58157
228	51987.53573
229	51963.47714
230	51920.13051
231	51878.57621
232	51856.84237
233	51831.46733
234	51773.5783
235	51705.83713
236	51676.00424
