iter	RMSE
0	321753.0996
1	313118.8195
2	304742.7661
3	296611.2707
4	288626.2329
5	280733.5373
6	273189.1725
7	265947.4417
8	258876.3926
9	251888.6467
10	245290.5901
11	238816.9382
12	232678.2111
13	226630.8841
14	220856.0519
15	215190.9107
16	209646.6529
17	204236.8897
18	199087.4523
19	194131.5785
20	189342.0048
21	184659.6144
22	180137.9886
23	175762.9747
24	171391.5586
25	167202.7998
26	163243.1572
27	159377.215
28	155609.2826
29	151945.6631
30	148422.6273
31	144957.4487
32	141630.3775
33	138506.9661
34	135403.355
35	132431.3285
36	129521.1475
37	126805.5914
38	124149.2392
39	121539.4417
40	119111.8535
41	116639.3805
42	114386.53
43	112093.6919
44	109923.3273
45	107875.403
46	105897.4138
47	104024.6126
48	102222.6067
49	100492.4374
50	98755.5957
51	97049.85743
52	95498.20487
53	93966.56056
54	92544.2542
55	91144.96695
56	89843.2354
57	88482.79715
58	87268.5817
59	85997.89567
60	84863.15108
61	83799.29892
62	82786.51734
63	81810.38063
64	80872.09824
65	79993.14504
66	79157.05083
67	78332.89872
68	77565.11531
69	76827.32522
70	76109.45532
71	75430.06791
72	74775.66836
73	74056.79952
74	73407.5293
75	72751.43337
76	72167.06111
77	71598.14453
78	71099.7893
79	70588.45168
80	70136.36774
81	69705.41294
82	69247.21011
83	68796.93421
84	68398.36154
85	68057.28242
86	67696.34522
87	67272.22449
88	66854.63444
89	66561.885
90	66204.9202
91	65940.35076
92	65583.81215
93	65305.17109
94	65096.79261
95	64831.54705
96	64631.60981
97	64388.40094
98	64197.38569
99	64003.58497
100	63796.92074
101	63621.24311
102	63357.27144
103	63219.89125
104	63094.52371
105	62929.89561
106	62662.2463
107	62497.89851
108	62288.42283
109	62178.89126
110	61965.38631
111	61764.38568
112	61650.11771
113	61506.02709
114	61396.28018
115	61284.70449
116	61093.56009
117	60968.22183
118	60885.49538
119	60735.58623
120	60637.10019
121	60513.16849
122	60338.17884
123	60250.27936
124	60190.92664
