iter	RMSE
0	316614.3987
1	308076.1513
2	299781.2566
3	291732.5278
4	283859.0565
5	276060.0785
6	268616.6048
7	261456.8902
8	254466.8509
9	247561.6383
10	241046.2463
11	234655.2259
12	228573.2157
13	222597.0755
14	216881.5857
15	211302.7899
16	205821.9196
17	200486.8427
18	195391.2879
19	190473.6871
20	185692.6023
21	181054.9124
22	176570.6289
23	172237.8338
24	167898.9957
25	163741.9301
26	159819.374
27	155972.5963
28	152234.5957
29	148601.589
30	145109.0489
31	141667.8275
32	138360.8795
33	135251.7128
34	132159.9209
35	129188.4237
36	126290.5368
37	123573.2418
38	120919.9531
39	118317.3709
40	115891.1506
41	113501.5369
42	111239.367
43	108928.1957
44	106795.8166
45	104745.456
46	102801.9238
47	100926.497
48	99124.5415
49	97367.56624
50	95629.09093
51	93918.24799
52	92370.95684
53	90820.99353
54	89387.26738
55	87992.40325
56	86689.62577
57	85301.90291
58	84075.75808
59	82772.84124
60	81617.85421
61	80555.2156
62	79521.20818
63	78518.97511
64	77560.34002
65	76679.52526
66	75836.69345
67	74999.33118
68	74200.19699
69	73333.04674
70	72607.27604
71	71924.60082
72	71266.6966
73	70451.52937
74	69793.00259
75	69183.39763
76	68609.32958
77	68030.79967
78	67543.17513
79	67073.90118
80	66622.12718
81	66196.35729
82	65729.87817
83	65274.43038
84	64831.44352
85	64481.78298
86	64081.59436
87	63666.72203
88	63264.80184
89	62972.03541
90	62642.57711
91	62291.95469
92	61921.51299
93	61629.89458
94	61409.81403
95	61146.11049
96	60940.51347
97	60739.16626
98	60557.19935
99	60347.07636
100	60143.36797
101	59974.97849
102	59694.00125
103	59510.34999
104	59378.64981
105	59166.98216
106	58925.84736
107	58754.72208
108	58538.58469
109	58423.14547
110	58217.44965
111	58052.48883
112	57935.75723
113	57782.3281
114	57663.09463
115	57580.66168
116	57394.9819
117	57261.12954
118	57190.5191
119	57083.72173
120	56986.00454
121	56851.38599
122	56674.05963
123	56622.55018
124	56544.82036
125	56424.9528
126	56287.47284
127	56181.13254
128	56039.40714
129	55990.99811
130	55940.90501
131	55887.58375
132	55846.43483
133	55725.45196
134	55679.79295
135	55586.41744
136	55474.49784
137	55405.92243
138	55345.5222
139	55225.69705
140	55146.36253
141	55095.27736
142	55042.53276
143	54980.78275
144	54916.64326
145	54822.4793
146	54770.67013
147	54702.87137
148	54616.51262
149	54566.27058
150	54517.59397
151	54457.15188
152	54383.29906
153	54333.53705
154	54274.94236
155	54192.26638
156	54080.81819
157	54011.4004
158	53945.42666
159	53882.72853
160	53837.96763
161	53779.75968
162	53685.13016
163	53636.2814
164	53610.67109
165	53568.13967
166	53489.61805
167	53442.55551
168	53358.2293
169	53321.04681
170	53190.40082
171	53115.93593
172	53082.99525
173	53026.09142
174	52900.84151
175	52828.06772
176	52792.78365
177	52684.30172
178	52570.52659
179	52505.31806
180	52485.83401
181	52456.45203
182	52424.44844
183	52392.80937
184	52367.73318
185	52321.49216
186	52257.29606
187	52197.83717
188	52162.57242
189	52133.12515
190	52099.76579
191	52058.87512
192	52033.03528
193	52012.16196
194	51906.70223
195	51846.11864
196	51835.58731
197	51797.03761
198	51757.19501
199	51656.72028
200	51599.58924
201	51585.17729
202	51548.48926
203	51491.27874
204	51436.86146
205	51407.77079
206	51394.03364
207	51347.67295
208	51251.74097
209	51221.05546
210	51187.53507
211	51146.78724
212	51055.384
213	51002.9252
214	50980.46972
215	50920.26839
216	50904.04061
217	50880.87478
218	50825.55229
219	50812.93175
220	50773.95292
221	50736.98503
222	50692.4775
223	50606.22
224	50571.38195
225	50532.50877
226	50520.27392
227	50506.98113
228	50492.81735
229	50481.04096
230	50426.25988
231	50415.38676
232	50366.24828
233	50332.66302
234	50315.25667
235	50303.8875
236	50248.27417
237	50237.25334
238	50184.35711
239	50165.6339
240	50155.03362
241	50104.71965
242	50058.465
243	50036.40192
244	49989.11206
245	49941.78851
246	49932.86476
247	49886.73063
248	49876.40615
249	49795.90766
250	49785.90594
251	49776.14582
252	49743.82913
253	49734.25237
254	49688.3624
255	49612.26312
256	49539.08474
257	49506.7811
258	49480.2943
259	49471.03699
260	49427.16803
261	49357.32077
262	49348.2945
263	49337.22527
264	49281.37832
265	49248.14742
266	49205.54669
267	49163.08889
268	49110.61996
269	49080.70624
270	49069.38738
271	49028.70042
272	48995.60572
273	48959.09399
274	48912.78982
275	48903.48886
276	48882.5168
277	48860.68329
278	48849.74306
279	48810.65231
280	48801.68257
281	48763.9914
282	48755.19358
283	48707.80258
284	48698.87331
285	48656.22344
286	48638.29455
287	48609.39936
288	48572.3195
289	48563.75374
290	48522.59789
291	48514.29201
292	48505.9481
293	48488.53074
294	48464.16252
295	48459.45246
296	48394.25616
297	48386.45201
298	48358.46337
299	48331.63042
300	48323.56878
301	48287.97183
302	48280.18134
303	48241.49709
304	48216.21815
305	48181.81044
306	48173.99114
307	48166.19153
308	48126.03011
309	48093.21694
310	48051.97362
311	48013.59577
312	47976.5904
313	47968.93186
314	47961.42684
315	47927.28649
316	47919.98126
317	47876.74503
318	47869.61509
319	47836.79622
320	47805.7824
321	47798.7829
322	47768.70654
323	47761.83743
324	47725.10743
325	47701.23257
326	47685.03149
327	47627.26486
328	47592.17227
329	47578.63156
330	47545.3456
331	47491.18301
332	47475.77534
333	47443.78486
334	47392.70045
335	47364.11201
336	47328.70978
337	47307.67988
338	47301.15657
339	47266.56407
340	47259.9754
341	47244.95913
342	47190.07991
343	47185.2822
344	47169.28539
345	47161.91575
346	47156.98053
347	47099.06521
348	47092.60565
349	47078.74669
350	47056.7161
351	47023.92469
352	47016.35969
353	47002.51861
354	46977.55819
355	46971.56354
356	46965.74769
357	46932.66013
358	46926.85726
359	46894.04299
360	46881.20312
361	46874.58427
362	46869.02933
363	46817.13839
364	46810.62341
365	46804.26646
366	46776.57048
367	46720.84111
368	46697.30834
369	46691.1645
370	46685.1683
371	46654.86894
372	46623.5304
373	46618.38194
374	46573.61942
375	46568.62041
376	46563.44
377	46552.0325
378	46547.05335
379	46515.30682
380	46488.36129
381	46445.78844
382	46440.01204
383	46409.94531
384	46370.03735
385	46343.73051
386	46337.93595
387	46319.44702
388	46306.10235
389	46277.45523
390	46225.51162
391	46196.30686
392	46162.35944
393	46118.38222
394	46113.91674
395	46108.26871
396	46102.78933
397	46086.39415
398	46058.76866
399	46046.32388
400	46027.92943
401	46022.29721
402	46016.97335
403	45984.43442
404	45960.55864
405	45932.77291
406	45928.65805
407	45897.58393
408	45865.23559
409	45840.16599
410	45812.59453
411	45786.88025
412	45738.11933
413	45732.22231
414	45726.51259
415	45699.05319
416	45671.39868
417	45646.71767
418	45620.01442
419	45614.9697
420	45589.21226
421	45560.35411
422	45529.51599
423	45524.58133
424	45487.08376
