iter	RMSE
0	320424.8525
1	311844.7573
2	303517.92
3	295434.1376
4	287488.2887
5	279641.9072
6	272128.6854
7	264915.6575
8	257884.8032
9	250938.4925
10	244377.2245
11	237958.6163
12	231857.8204
13	225835.2409
14	220098.8699
15	214474.7943
16	208968.6418
17	203589.6537
18	198474.1545
19	193550.7522
20	188768.2017
21	184116.9352
22	179624.712
23	175270.1812
24	170929.2847
25	166765.0932
26	162839.7317
27	159002.3377
28	155268.6045
29	151628.3232
30	148137.1342
31	144696.7452
32	141387.968
33	138285.0303
34	135201.6691
35	132253.3842
36	129367.2984
37	126676.0783
38	124041.9317
39	121455.0927
40	119050.4385
41	116663.6341
42	114431.5365
43	112153.0143
44	110063.8023
45	108032.8949
46	106046.6929
47	104180.2301
48	102396.0863
49	100659.4716
50	98943.47788
51	97249.52129
52	95721.88794
53	94178.5619
54	92765.83674
55	91384.16263
56	90097.12997
57	88735.72856
58	87527.09961
59	86260.71538
60	85132.16684
61	84081.74859
62	83082.34708
63	82114.734
64	81191.53947
65	80330.71899
66	79508.91309
67	78692.11779
68	77918.85118
69	77196.64386
70	76489.89255
71	75820.239
72	75173.92896
73	74375.44916
74	73732.84948
75	73157.2825
76	72579.17173
77	72015.39773
78	71528.6435
79	71024.43011
80	70581.61294
81	70154.83673
82	69699.92331
83	69225.74479
84	68829.05507
85	68495.09366
86	68136.24971
87	67709.7557
88	67292.73185
89	67008.10509
90	66651.902
91	66405.93505
92	66110.45125
93	65829.86462
94	65624.19727
95	65358.21152
96	65166.98989
97	64968.73912
98	64785.79324
99	64592.44776
100	64377.14399
101	64207.84149
102	63936.38055
103	63798.25958
104	63659.42183
105	63490.55275
106	63238.14861
107	63047.72283
108	62831.71525
109	62723.31094
110	62590.61783
111	62355.14507
112	62235.53476
113	62089.26725
114	61987.24761
115	61888.25308
116	61697.95016
117	61568.00412
118	61505.9395
119	61333.10951
120	61188.10439
121	61057.89806
122	60874.2107
123	60793.78999
124	60711.86796
125	60655.21112
