iter	RMSE
0	319215.8835
1	310671.6588
2	302379.2246
3	294329.7917
4	286434.7867
5	278619.2777
6	271144.6177
7	263959.1189
8	256956.581
9	250036.9463
10	243506.0747
11	237112.8739
12	231035.1564
13	225047.4643
14	219331.1884
15	213732.813
16	208255.9992
17	202907.2951
18	197820.0834
19	192907.4347
20	188140.4821
21	183514.833
22	179024.0617
23	174692.8401
24	170369.4112
25	166231.0819
26	162318.1612
27	158496.7232
28	154790.3368
29	151182.1526
30	147702.5314
31	144294.1877
32	141013.637
33	137926.662
34	134867.993
35	131924.7049
36	129050.6214
37	126371.8011
38	123750.009
39	121174.0618
40	118777.8144
41	116417.0924
42	114195.3219
43	111939.3059
44	109851.676
45	107829.1832
46	105857.1949
47	103997.4903
48	102229.1687
49	100520.0649
50	98809.4117
51	97138.59451
52	95613.41315
53	94079.094
54	92671.1815
55	91290.9644
56	90011.79095
57	88667.95361
58	87470.93149
59	86210.62096
60	85080.17998
61	84035.32888
62	83027.93371
63	82066.52616
64	81136.60463
65	80272.53317
66	79449.40236
67	78637.83664
68	77856.52631
69	77125.76613
70	76417.98393
71	75750.10648
72	75097.73895
73	74387.59957
74	73747.27317
75	73174.32486
76	72619.08455
77	72057.32555
78	71586.84929
79	71016.61071
80	70573.4311
81	70151.11191
82	69697.6249
83	69316.71129
84	68900.95151
85	68567.89861
86	68252.78204
87	67830.04156
88	67429.23071
89	67135.12467
90	66780.51157
91	66433.15692
92	66083.06703
93	65798.5108
94	65595.95345
95	65330.75629
96	65130.16277
97	64937.06295
98	64751.98674
99	64547.23539
100	64317.5808
101	64145.53004
102	63892.79148
103	63740.49761
104	63611.46812
105	63448.52333
106	63202.41707
107	63041.0194
108	62834.93088
109	62725.02352
110	62617.2092
111	62409.1292
112	62301.02367
113	62147.90592
114	62013.23675
115	61907.58133
116	61827.21539
117	61691.2383
118	61619.3903
119	61456.86549
120	61358.35889
121	61228.51104
122	61066.65094
123	60982.77286
124	60879.60973
125	60822.99624
126	60691.66649
127	60572.73864
128	60478.69527
129	60428.20532
130	60363.4141
131	60321.40484
132	60234.24571
