iter	RMSE
0	323008.1818
1	314333.0218
2	305911.8506
3	297737.4714
4	289717.9479
5	281768.5409
6	274174.694
7	266829.3143
8	259695.1315
9	252655.438
10	246000.1987
11	239503.4376
12	233314.2729
13	227218.7951
14	221391.7466
15	215695.5596
16	210120.6141
17	204686.6277
18	199498.0663
19	194488.096
20	189649.8522
21	184927.544
22	180369.6122
23	175940.7845
24	171523.4769
25	167316.6404
26	163321.7479
27	159403.9439
28	155593.4284
29	151891.071
30	148331.2679
31	144856.3425
32	141502.8558
33	138328.5508
34	135198.7803
35	132172.4754
36	129220.9026
37	126463.2013
38	123765.6821
39	121115.3838
40	118647.3219
41	116156.4091
42	113866.8982
43	111548.2527
44	109405.3737
45	107309.4291
46	105304.0398
47	103384.0648
48	101555.9574
49	99749.58392
50	97910.14909
51	96195.23219
52	94610.02267
53	93073.83192
54	91591.485
55	90164.90994
56	88814.80916
57	87452.68422
58	86175.53718
59	84891.29758
60	83700.72473
61	82621.98267
62	81574.68809
63	80562.96886
64	79606.62535
65	78705.84995
66	77841.00909
67	76993.87657
68	76170.20624
69	75416.63978
70	74684.83361
71	73965.62078
72	73299.62507
73	72520.6307
74	71832.43734
75	71257.52555
76	70666.52056
77	70059.84169
78	69559.84191
79	69053.06617
80	68569.91682
81	68101.79668
82	67610.76267
83	67219.0046
84	66762.13849
85	66405.96211
86	66017.74138
87	65693.42191
88	65323.96849
89	65020.48575
90	64700.96358
91	64444.1913
92	64079.70167
93	63790.13018
94	63570.21571
95	63356.51191
96	63155.77518
97	62932.56412
98	62720.78846
99	62511.44092
100	62278.43656
101	62087.13662
102	61880.22122
103	61673.43646
104	61526.31374
105	61355.30783
106	61183.89962
107	61012.8767
108	60869.34043
109	60759.11108
110	60617.40464
111	60500.32293
112	60364.53669
113	60194.01276
114	60057.36206
115	59955.74774
116	59866.72431
117	59715.34326
118	59645.74452
119	59530.01163
120	59416.81639
121	59292.39997
122	59154.61036
123	59096.55824
124	58920.77567
125	58800.03116
126	58655.91023
127	58544.02229
128	58439.54568
129	58373.60336
130	58249.07002
131	58197.14866
132	58120.94419
133	58015.18979
134	57954.0678
135	57910.80747
136	57813.172
137	57746.34559
138	57649.84047
139	57573.82618
140	57487.46703
141	57400.89167
142	57322.02255
143	57254.21905
144	57189.73848
145	57112.73461
146	57046.12478
147	56991.67437
148	56893.04741
149	56805.68182
150	56690.43097
151	56624.80995
152	56554.72092
153	56496.5199
154	56414.84367
155	56354.88698
156	56291.55366
157	56251.64511
158	56173.00301
159	56135.704
160	56087.85015
161	56013.35816
162	55911.92481
163	55863.42182
164	55833.55869
165	55783.83029
166	55745.12211
167	55683.41512
168	55596.835
169	55528.46678
170	55484.90698
171	55400.74736
172	55357.61428
173	55291.23485
174	55239.21835
175	55187.48928
176	55143.64583
177	55087.31953
178	55015.82094
179	54943.96905
180	54917.97517
181	54881.01591
182	54833.20825
183	54764.71797
184	54714.01908
185	54653.73372
186	54620.34993
187	54562.97116
188	54526.27404
189	54495.78147
190	54440.33267
191	54393.45175
192	54364.81288
193	54328.22413
194	54280.65066
195	54225.33942
196	54201.51818
197	54158.13069
198	54137.21151
199	54109.7717
200	54065.23856
201	54018.73888
202	53972.79942
203	53930.32908
204	53873.77126
205	53795.4139
206	53751.19778
207	53696.56431
208	53644.39704
209	53612.70717
210	53574.53051
211	53543.17131
212	53524.50388
213	53493.454
214	53469.26172
215	53444.71497
216	53424.9573
217	53397.14634
218	53386.00107
219	53342.82132
220	53321.94467
221	53301.37058
222	53248.13305
223	53215.09369
224	53169.48771
225	53126.25951
226	53106.48438
227	53076.63285
228	53048.5731
229	53024.12415
230	52962.60694
231	52919.32911
232	52865.83881
233	52840.63828
234	52824.47295
235	52756.86548
236	52718.07142
237	52679.23882
238	52614.94675
239	52598.48802
240	52550.58255
241	52504.99152
242	52474.39179
243	52436.09566
244	52408.74236
245	52388.14687
246	52348.49956
247	52316.22923
248	52290.21403
249	52274.73973
250	52234.21048
251	52215.9213
252	52198.17251
253	52180.94775
254	52165.57242
255	52141.03583
256	52114.53372
257	52070.87483
258	52032.16617
259	52012.76461
260	51963.13048
261	51924.13659
262	51904.31898
263	51847.7782
264	51808.96147
265	51771.63819
266	51747.19966
267	51731.71484
268	51716.68485
269	51669.05403
270	51649.90124
271	51619.94785
272	51605.48555
273	51569.41413
274	51547.4349
275	51528.68121
276	51515.86584
277	51479.78809
278	51457.35881
279	51438.68981
280	51426.20078
281	51381.10664
282	51346.72217
283	51311.41929
284	51301.06378
285	51288.02029
286	51258.26276
287	51224.39687
288	51215.21097
289	51181.87632
290	51169.88694
291	51148.95823
292	51137.55253
293	51121.36027
294	51067.6877
295	51033.12738
296	51013.22119
297	50970.60351
298	50929.6288
299	50918.84664
300	50888.22302
301	50854.90736
302	50846.7025
303	50796.9848
304	50764.23517
305	50728.24916
306	50701.68356
307	50662.29596
308	50625.86874
309	50591.05461
310	50557.78294
311	50543.19173
312	50506.14078
313	50495.8741
314	50461.05334
315	50427.43393
316	50395.51886
317	50378.65737
318	50348.17465
319	50302.10668
320	50292.51128
321	50262.25067
322	50244.72323
323	50207.39453
324	50167.77176
325	50140.83974
326	50131.14384
327	50100.8788
328	50078.64748
329	50055.30996
330	50030.79341
331	49995.40962
332	49951.85033
333	49934.17247
334	49905.20061
335	49880.82642
336	49857.49525
337	49829.0692
338	49797.21523
339	49789.54385
340	49769.13066
341	49722.02146
342	49695.46332
343	49677.77828
344	49668.98766
345	49637.5181
346	49620.26425
347	49590.54867
348	49566.68316
349	49553.33324
350	49518.68855
351	49491.18758
352	49464.34881
353	49437.70987
354	49417.70127
355	49408.53373
356	49381.26999
357	49359.37434
358	49343.91519
359	49314.24203
360	49301.35584
361	49288.84829
362	49280.38501
363	49272.10956
364	49259.91613
365	49242.96889
366	49225.7802
367	49194.11188
368	49176.76008
369	49156.04896
370	49144.16943
371	49136.07161
372	49098.05712
373	49082.30727
374	49049.56101
375	49024.6711
376	49000.43203
377	48989.11382
378	48944.64
379	48902.34132
380	48885.69314
381	48857.7583
382	48836.43451
383	48825.40951
384	48804.17289
385	48778.20822
386	48753.19074
387	48738.49585
388	48719.81609
389	48693.37401
390	48662.58533
391	48638.07298
392	48618.65947
393	48600.65677
394	48593.35707
395	48565.28562
396	48542.5364
397	48501.36796
398	48484.18481
399	48479.26649
400	48444.91853
401	48410.55969
