iter	Passed	Remaining
0	13	13017
1	13	6908
2	29	9951
3	45	11306
4	77	15339
5	77	12823
6	77	11014
7	77	9665
8	79	8708
9	79	7862
10	87	7903
11	92	7624
12	92	7055
13	93	6560
14	93	6129
15	93	5752
16	93	5421
17	94	5131
18	94	4867
19	94	4631
20	94	4415
21	94	4221
22	95	4042
23	95	3879
24	101	3972
25	102	3832
26	102	3694
27	102	3565
28	104	3492
29	104	3380
30	104	3276
31	105	3176
32	105	3083
33	105	3009
34	106	2928
35	110	2965
36	111	2891
37	111	2820
38	111	2750
39	113	2715
40	113	2652
41	119	2724
42	119	2669
43	120	2612
44	120	2555
45	120	2501
46	120	2451
47	121	2401
48	121	2354
49	121	2309
50	121	2266
51	122	2224
52	122	2185
53	125	2199
54	125	2161
55	126	2126
56	126	2090
57	126	2055
58	126	2021
59	126	1988
60	127	1956
61	127	1925
62	132	1967
63	133	1957
64	134	1929
65	134	1901
66	134	1874
67	134	1847
68	135	1824
69	135	1799
70	135	1774
71	139	1797
72	142	1807
73	142	1784
74	142	1761
75	142	1738
76	143	1716
77	147	1746
78	148	1726
79	148	1705
80	148	1684
81	148	1664
82	148	1645
83	149	1626
84	149	1607
85	149	1589
86	149	1572
87	150	1555
88	150	1538
89	150	1521
90	156	1560
91	156	1543
92	156	1527
93	158	1532
94	159	1516
95	159	1501
96	159	1486
97	173	1592
98	173	1580
99	173	1564
100	174	1553
101	174	1538
102	180	1573
103	180	1559
104	181	1544
105	181	1530
106	181	1515
107	181	1501
108	182	1487
109	182	1474
110	182	1460
111	182	1447
112	182	1434
113	182	1422
114	183	1409
115	183	1397
116	183	1385
117	183	1373
118	183	1362
119	184	1350
120	187	1364
121	188	1354
122	188	1343
123	188	1332
124	188	1321
125	189	1311
126	189	1301
127	189	1290
128	189	1280
129	189	1270
130	190	1261
131	190	1251
132	194	1267
133	194	1259
134	195	1249
135	199	1268
136	199	1259
137	200	1249
138	200	1240
139	201	1235
140	201	1227
141	201	1218
142	201	1209
143	202	1200
144	202	1192
145	206	1208
146	207	1202
147	207	1194
148	207	1186
149	207	1178
150	208	1170
151	208	1163
152	208	1155
153	208	1147
154	209	1139
155	209	1132
156	215	1156
157	215	1149
158	215	1142
159	216	1134
160	216	1127
161	216	1120
162	226	1162
163	226	1155
164	226	1148
165	227	1140
166	227	1133
167	227	1126
168	227	1119
169	227	1112
170	228	1105
171	228	1098
172	228	1092
173	228	1085
174	228	1079
175	229	1073
176	229	1066
177	229	1060
178	232	1064
179	233	1062
180	233	1055
181	239	1077
182	240	1072
183	240	1066
184	240	1060
185	240	1054
186	241	1048
187	241	1042
188	241	1036
189	244	1042
190	244	1037
191	245	1031
192	245	1025
193	245	1020
194	245	1014
195	245	1008
196	246	1003
197	246	997
198	251	1012
199	251	1007
200	252	1002
201	252	996
202	252	991
203	252	986
204	252	980
205	253	975
206	256	983
207	257	978
208	263	997
209	263	993
210	264	987
211	264	982
212	264	978
213	265	973
214	265	968
215	265	963
216	265	959
217	266	954
218	266	950
219	266	945
220	266	940
221	272	954
222	272	950
223	272	945
224	273	940
225	273	936
226	273	931
227	273	926
228	273	922
229	274	917
230	274	913
231	274	908
232	274	904
233	281	920
234	281	916
235	282	913
236	282	908
237	282	904
238	282	900
239	282	895
240	283	891
241	283	887
242	283	883
243	283	878
244	283	874
245	287	882
246	288	879
247	288	875
248	288	871
249	289	867
250	289	863
251	289	859
252	293	866
253	293	863
254	294	859
255	299	871
256	300	868
257	300	865
258	311	891
259	311	887
260	312	883
261	312	880
262	312	876
263	312	872
264	313	868
265	313	864
266	313	860
267	313	856
268	313	852
269	314	849
270	316	851
271	321	861
272	322	858
273	332	880
274	332	877
275	332	873
276	333	869
277	334	868
278	334	865
279	335	861
280	335	858
281	343	874
282	343	871
283	344	867
284	344	863
285	344	860
286	344	856
287	344	852
288	345	848
289	350	859
290	351	855
291	351	852
292	351	848
293	358	860
294	358	857
295	358	853
296	359	849
297	359	846
298	366	858
299	366	855
300	366	851
301	366	847
302	367	846
303	368	842
304	368	839
305	368	835
306	373	842
