iter	RMSE
0	321108.794
1	312466.5721
2	304078.5854
3	295936.2789
4	287938.7443
5	280041.0946
6	272476.6687
7	265215.7413
8	258132.3036
9	251136.9316
10	244525.3609
11	238059.1169
12	231912.3828
13	225842.7448
14	220053.062
15	214385.5836
16	208815.3404
17	203390.5409
18	198230.9766
19	193263.2211
20	188426.7518
21	183731.3984
22	179192.1922
23	174791.8787
24	170400.7787
25	166196.7812
26	162220.7843
27	158334.0603
28	154534.6566
29	150856.6414
30	147315.1173
31	143834.7652
32	140469.8422
33	137322.6386
34	134184.7597
35	131184.6384
36	128251.4896
37	125507.6532
38	122827.2908
39	120193.7237
40	117738.6596
41	115327.7008
42	113042.6885
43	110711.7186
44	108589.4171
45	106515.0368
46	104481.6328
47	102588.3593
48	100731.8831
49	98953.12743
50	97203.27222
51	95478.48376
52	93899.41305
53	92319.14666
54	90869.52149
55	89448.35658
56	88116.95869
57	86736.9795
58	85506.44035
59	84205.77522
60	82998.92671
61	81913.61867
62	80868.17531
63	79870.20528
64	78904.93297
65	78005.89684
66	77147.33174
67	76300.11028
68	75513.92979
69	74757.90727
70	74023.94461
71	73328.97149
72	72637.90547
73	71899.72739
74	71229.68651
75	70568.4071
76	69970.77775
77	69383.34445
78	68870.31797
79	68345.15219
80	67883.57576
81	67441.83979
82	66967.21948
83	66578.54822
84	66144.11197
85	65791.77782
86	65408.89488
87	64977.95633
88	64547.89299
89	64206.22942
90	63893.39025
91	63627.124
92	63273.82353
93	62977.37311
94	62759.4721
95	62492.73529
96	62289.2694
97	62089.24056
98	61893.1355
99	61685.54654
100	61455.14315
101	61281.07767
102	61034.93178
103	60862.64055
104	60729.27388
105	60543.3659
106	60398.17606
107	60207.24476
108	60000.88525
109	59876.87719
110	59758.0081
111	59543.74627
112	59406.69066
113	59258.70868
114	59132.84632
115	59041.72251
116	58828.04811
117	58699.23205
118	58627.11389
119	58461.72685
120	58345.91299
121	58227.74636
122	58037.0432
123	57980.38176
124	57874.66375
125	57747.97855
126	57619.783
127	57502.35615
128	57353.15637
